category,tag,n_stories,n_editions,draft_definition,doubts_or_questions,example_stories,decision,refined_definition
_anomalous_,ritual,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,ritual-ablution,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,scriptures,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,seclusion,2,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,sefarad_custom,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,self_esteem,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,servant,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,spiritual_ascension,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,tsaddik_protection,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,tsaddik_relations_with_criminals,1,,,"ANOMALY (no-colon): Bare top-level prefix with no sub-tag — does not follow the `<top>:<sub>` scheme. Recommendation: Either assign a proper `<top>:<sub>` form, rehome to an existing tag, or drop if not meaningful.",,,
_anomalous_,TBD:Unknown,2,,,ANOMALY (tbd): Placeholder token left in-flight; not a real tag. Recommendation: Resolve to a concrete tag or drop.,,,
_anomalous_,experience:mystical:gilui_eliyahu,1,,,ANOMALY (three-level): Three-level token (`top:sub:detail`) breaks the two-level scheme used by the rest of the taxonomy. Recommendation: Collapse to a two-level form (drop the detail or fold into an existing two-level tag) — or accept three-level as a deliberate scheme exception.,,,
_anomalous_,practice:magic:make_it_rain,1,,,ANOMALY (three-level): Three-level token (`top:sub:detail`) breaks the two-level scheme used by the rest of the taxonomy. Recommendation: Collapse to a two-level form (drop the detail or fold into an existing two-level tag) — or accept three-level as a deliberate scheme exception.,,,
_anomalous_,practice:prayer:outside,1,,,ANOMALY (three-level): Three-level token (`top:sub:detail`) breaks the two-level scheme used by the rest of the taxonomy. Recommendation: Collapse to a two-level form (drop the detail or fold into an existing two-level tag) — or accept three-level as a deliberate scheme exception.,,,
_anomalous_,practice:prayer:sigh,1,,,ANOMALY (three-level): Three-level token (`top:sub:detail`) breaks the two-level scheme used by the rest of the taxonomy. Recommendation: Collapse to a two-level form (drop the detail or fold into an existing two-level tag) — or accept three-level as a deliberate scheme exception.,,,
