story_a	edition_a	url_a	story_b	edition_b	url_b	sim	opening_a	opening_b
Khal-Hasidim_0103	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0103	Shivhei-Habesht_0185	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0185	0.9935	"Khal-Hasidim_0103 תיוגים בעיר אחת היו ג' אחים לומדים מופלגים ויראי ה׳ שנים היו סרים למשמעתו של הבעש״ט. והג׳ היה מתנגד נגדו ובכל פעם שהיה הבעש״ט בה""ק הנ""ל היה אכסניא שלו אצל שני האחים ובכל פעם היה שואל"	"Shivhei-Habesht_0185 תיוגים* בק""ק אחת היו ג' אחים לומדים מופלגים ויראי ה' שנים מהם היו סרים למשמעתו של הבעש""ט והג' הי' מתנגד נגדו ובכל פעם שהי׳ הבעש״ט בק""ק הנ' הי' אכסניא שלו אצל שני האחים ובכל פעם הי"
Khal-Hasidim_0197	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0197	Maase-Zadikim_0009	maase-zadikim	https://www.hasidic-stories.org/Story/maase-zadikim/Maase-Zadikim_0009	0.9935	"Khal-Hasidim_0197 תיוגים מהאחים הגאונים הגדולים הצדיקים הקדושים מ' שמעלקא ומ' פנחס הורוויץ ז״ל בעמ""ח ס' המקנה והפלאה: הרב הקדוש מו""ה זושא ז""ל היה תלמיד הרב הגדול והקדוש המגיד ממעזריטש ז""ל ושמע שם הרב "	"Maase-Zadikim_0009תיוגיםמהאחים הגאונים הגדולים הצדיקים הקדושים מו' שמעלקא ומו' פנחס הורוויץ ז״ל בעהמ""ח ס׳ המקנה והפלאה ז״ל הרב הקדוש מוה' זישע ז״ל היה תלמיד הרב הקדוש המגיד ממעזריטש ז""ל ושמע שם הרב המ"
Khal-Hasidim_0213	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0213	Maase-Zadikim_0012	maase-zadikim	https://www.hasidic-stories.org/Story/maase-zadikim/Maase-Zadikim_0012	0.9935	"Khal-Hasidim_0213 תיוגים הרב הקדוש בעל נועם אלימלך צוה לתלמידו עת שאלוהו מי יהיה להם לרב ומורה ויאמר להם ליסע לסדילקאב לנכד הבעש״ט ז""ל בעל דגל מחנה אפרים. ויסע תלמידו הצדיק ר׳ מענדילע פריסטקר ז""ל לסדי"	"Maase-Zadikim_0012תיוגיםהרב הקדוש בעל נועם אלימלך צוה לתלמידיו עת שאלוהו מי יהי' להם לרב ומורה ויאמר להם ליסע לסדילקאב לנכד הבעש״ט ז""ל בעל דגל מחנה אפרים. ויסע תלמידו הצדיק ר' מענדילע פריסטקר ז""ל לסדי"
Khal-Hasidim_0238	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0238	Khal-Kdoshim_0001	Khal-Kdoshim	https://www.hasidic-stories.org/Story/Khal-Kdoshim/Khal-Kdoshim_0001	0.9935	"Khal-Hasidim_0238 תיוגים מעשה מרבינו הקדוש אספקלריא המאירה מו""ה יעקב יצחק הלוי מלובלין זי""ע : הנה בהתגלות הצדיק הקדוש רבו החסידים ליסע אליו אלי . רבו כמו רבו יום יום. וכל אחד הלהיב תשוקה נמרצה בלב יתר"	Khal-Kdoshim_0001 תיוגים מעשה מהצדיק הקדוש אספקליא המאירה מוה' יצחק מלובלין הנה בהתגלות הצדיק הקדוש רבו החסידים ליסע אליו. רבו כמו רבו יום יום וכל אחד הלהיב תשוקה נמרצה בלב יתר החסידים ליסע אליו. והנה
Khal-Hasidim_0107	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0107	Shivhei-Habesht_0189	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0189	0.9934	"Khal-Hasidim_0107 תיוגים פ""א ראה הבעש""ט שהרב מוהר""ן נוסע לדרכו ונסע הבעש""ט ג""כ אחריו בכדי שיבא מוהר״ן לאכסניא מקודם על שבת והוא יבא אחריו ויהיה הוא אורח אצלו ולהרב מוהר""ן לא יהיה דגים על שבת ויהיה לו "	"Shivhei-Habesht_0189 תיוגים* פ""א ראה הבעש״ט שהרב מוהר""ן נוסע לדרכו ונסע הבעש״ט ג״כ אחריו בכדי שיבא מוהר״ן לאכסניא מקודם על שבת והוא יבא אחריו ויהי׳ הוא אורח אצלו ולהרב מוהר""ן לא יהיה דגים על שבת ויהי'"
Khal-Hasidim_0086	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0086	Shivhei-Habesht_0112	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0112	0.9933	"Khal-Hasidim_0086 תיוגים מעשה כשבא הבעש״ט לק""ק מעזיבוז לא היה חשוב בעיני החסידים היינו הרה""ק ר' זאב קיצעס והרה""ק ר' דוד פורקעס מחמת השם שקראו אותו בעש״ט כי שם זה אינו נאה לצדיק והיה להם תלמיד הגון וחל"	"Shivhei-Habesht_0112 תיוגים* מעשה כשבא הבעש״ט לק""ק מעזיבוז לא הי' חשוב בעיני החסידים היינו ר׳ זאב קוצעס ור׳ דוד פורקעס מחמת השם שקראו אותו בעש״ט כי שם זה אינו נאה לצדיק והי׳ להם תלמיד הגון וחלה והוא ה"
Khal-Hasidim_0089	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0089	Shivhei-Habesht_0138	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0138	0.9933	"Khal-Hasidim_0089 תיוגים שמעתי מר' זעליג דק""ק לעטשוב שהלך בדרך ובא לק""ק איספאלי ועדיין הי' כפר והי׳ מתאכסן אצל שוחט ושמעו שבאהרב ר׳ מאיר הרב דגולה והלכתי להקביל פניו וביקש את הרב מ' זעליג שישב בכאן כמ"	"Shivhei-Habesht_0138 תיוגים* שמעתי מר׳ זעליג דק""ק לעטשוב שהלך בדרך ובא לק""ק איספאלי ועדיין הי׳ כפר והוא התאכסן אצל שוחט ושמעו שבא הרב ר׳ מאיר הרב דגולה והלכתי להקביל פניו וביקש את הרב מ׳ זעליג שישב בכ"
Khal-Hasidim_0011	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0011	Shivhei-Habesht_0007	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0007	0.9932	Khal-Hasidim_0011 תיוגים גם בא מוכסין אחד שנתרועע מזלו מאד והבעש״ט ראה שמה״מ רוקד אחריו ואמר לו דברים כבושים שישוב בתשובה ומה לך לילך אחר קניני עה״ז מוטב לעשות תשובה ולתקן דבריו וחשדו שהבעש״ט רוצה מעו	Shivhei-Habesht_0007 תיוגים* גם בא מוכסין אחד שנתרועע מזלו מאוד והבעש״ט ראה שמה״מ רוקד אחריו ואמר לו דברים כבושים שישוב בתשובה ומה לך לילך אחר קניני עה״ז מוטב לעשות תשובה ולתקן דרכיו וחשדו שהבעש״ט רוצ
Khal-Hasidim_0109	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0109	Shivhei-Habesht_0191	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0191	0.9932	"Khal-Hasidim_0109 תיוגים בסטאמבול היה איש א׳ עשיר מופלג והיה לו בן יחיד אחד מופלא ופתאום נעש' סומא מעיניו וביקשו מהרופאים שירפאו אותו ואחר כל התחבולות שעשו לא הועילו כלום ונתייאשו מרפאותו ובהיות הבעש"""	Shivhei-Habesht_0191 תיוגים* בסטאמבול הי' איש א׳ עשיר מופלג והיה לו בן יחיד א' מופלא ופתאום נעשה סומא מעיניו. וביקשו מהרופאים, שירפאו אותו ואחרי כל התחבולו' שעשו לא הועילו כלום ונתייאשו מרפואתו ובהיו'
Khal-Hasidim_0209	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0209	Sipurei-Zadikim_0009	Sipurei-Zadikim	https://www.hasidic-stories.org/Story/Sipurei-Zadikim/Sipurei-Zadikim_0009	0.9932	"Khal-Hasidim_0209 תיוגים עכ""ז מורשי לבבי הציקוני לחרות בעט ברזל סיפור קטן הכמות ורב האיכות אשר לבב כל קורא משכיל יתלהב מזה כי פוק חזי מאן הוא גברא רבא דקא מסהיד עלה. הנה בעת גדולת האי סבא קדישא התחיל "	Sipurei-Zadikim_0009תיוגים עכ״ז מורשי לבבי הציקוני לחרות בעט ברזל ספור קטן הכמות ורב האיכות אשר לבב כל קורא משכיל יתלהב מזה כי פוק חזי מאן הוא גברא רבא דקא מסהיד עליה. הנה בעת גדולת האי סבא קדישא התחי
Khal-Hasidim_0003	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0003	Shivhei-Habesht_0003	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0003	0.9931	"Khal-Hasidim_0003 תיוגים פ""א באו הגזלנים אליו ואמרו אדונינו הנה אנחנו יודעים דרך קצרה לילך אל ארץ ישראל דרך מערות ומחילות אם רצונו לך אתנו ואנחנו נהיה מורים לפניו הדרך אשר תלך בה ויואל ללכת אתם והיה ב"	"Shivhei-Habesht_0003 תיוגים (פ""א באו הגזלנים אליו ואמרו אדונינו הנה אנחנו 3 ב יודעים שבחי הבעש״ט יודעים דרך קצרה לילך אל ארץ ישראל דרך מערות ומחילות אם רצונך לך נא אתנו ואנחנו נהי' מורים לפניו הדרך אש"
Khal-Hasidim_0134	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0134	Shivhei-Habesht_0026	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0026	0.9929	"Khal-Hasidim_0134 תיוגים שמעתי מחמי ז""ל שהרב הקדוש מ' גרשון טבל א״ע בים בשעה שהספינה מהלכת ושאלתי אותו איך הותר להעמיד עצמו בסכנה גדולה כזו ולא היה בידו להשיבני וכשבא ר׳ גדליה אלינו ושאלתי אותו ע""ז וה"	"Shivhei-Habesht_0026 תיוגים* שמעתי מחמי ז""ל שהרב החסיד מ׳ גרשון טבל א""ע בים בשעה שהספינה מהלכת ושאלתי אותו איך הותר להעמיד עצמו בסכנה גדולה כזו ולא היה בידו להשיביני וכשבא ר׳ גדלי' אלינו ונזכרתי שאלתי"
Khal-Hasidim_0144	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0144	Shivhei-Habesht_0044	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0044	0.9929	Khal-Hasidim_0144 תיוגים הרב המגיד הגדול ממעזריטש צוה פעם א' לתלמידו הקדוש מ׳ אהרן קארלינר שיסע דרך איזה קהילה ידוע. ועשה כן כפי ציווי ויהי בבואו להעיר הידוע וחפש באמתחתו והנה שכח כיס הטלית והתפילין ו	"Shivhei-Habesht_0044 תיוגים* הרב הגדול מ׳ דוב ז""ל ממעזריטש צוה פעם א' לתלמידו הרב מ' אהרן קארלינר: שיסע לביתו דרך איזו קהילה ידוע. ועשה כן כפי ציוויו ויהי בבואו להעיר הידוע וחפש באמתחתו והנה שכח כיס ה"
Khal-Hasidim_0088	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0088	Shivhei-Habesht_0135	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0135	0.9928	"Khal-Hasidim_0088 תיוגים שמעתי מהרב דקהלתינו שהוליך הבעש״ט את הגה""ק מ' יחיאל מיכל על הרבנות דק""ק הוראדני ובליל ששי תעו בדרך והיה חשכה מאוד לא ראו איש את אחיו וירד הבעש״ט מן העגלה לחפוש הדרך ואח""כ ירד "	"Shivhei-Habesht_0135 תיוגים* שמעתי מהרב דקהלתינו שהוליך הבעש״ט את הרב מ׳ יחיאל מיכל על הרבנות דק""ק 134 135 הוראדני שבחי הבעש״ט 136 הוראדני ובליל ששי תעו בדרך והיה חשכה מאוד ממש לא ראו איש את אחיו וירד"
Khal-Hasidim_0212	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0212	Khal-Kdoshim_0012	Khal-Kdoshim	https://www.hasidic-stories.org/Story/Khal-Kdoshim/Khal-Kdoshim_0012	0.9928	"Khal-Hasidim_0212 תיוגים מעש' מהאחים הצדיקים הקדושים עמודי התשובה מו""ה אלימלך ומו""ה זושא זי""ע : רבי ר׳ אלימלך עם הרבי ר' זוסיא נסעו כל ימיהם להרבות בתשובה עם ישראל הקדוש ועלו בידם לאלפים ולרבבות נפשות"	"Khal-Kdoshim_0012 תיוגים מעשה מהצדיק הקדוש עמוד התשובה מרן מו""ה אלימלך זי״ע בעהמ""ח ס׳ נועם אלימלך : הקדוש הלזה עם הרבי ר׳ זוסיא נסעו כל ימיהם להרבות בתשובה עם ישראל הקדוש ועלו בידם לאלפים ולרבבות נפשו"
Khal-Hasidim_0236	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0236	Peer-MiKdoshim_0012	PeerMikdoshim	https://www.hasidic-stories.org/Story/PeerMikdoshim/Peer-MiKdoshim_0012	0.9927	"Khal-Hasidim_0236 תיוגים עוד מעשה נפלאה מהרב הצדיק הקדוש מו""ה משה ליב מ סאסוב סאבוב : זי""ע שמה בסאסוב העיר הי׳ איש אחד ושמו ר' חיים וויינשנקער סוחר יין ולו בן תלמיד חכם גדול והאיש זקן בא בימים והלך בד"	"Peer-MiKdoshim_0012תיוגים מעשה מהרב הצדיק הקדוש מוהר""ר משה ליב מסאסיב זי""ע שמה בסאסיב העיר הי' איש אחד ושמו ר׳ חיים וויינשענקר סוחר יין ולו בן תלמיד חכם גדול והאיש זקן בא בימים והלך בדרך כל הארץ ואת א"
Khal-Hasidim_0028	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0028	Shivhei-Habesht_0017	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0017	0.9926	"Khal-Hasidim_0028 תיוגים עוד שמעתי מפיו הנ""ל פ״א עיה״כ ראה בעש״ט קיטרוג גדול על ישראל שיסתלק מהם תורה שבע""פ והי׳ מתעצב מאד כל יום עיה״כ. ולע""ע כשבאו כל העיר לברכם ברך אחד או שנים ואמר לא יכולתי מחמת צ"	"Shivhei-Habesht_0017 תיוגים* עוד שמעתי מפיו הנ' פ""א עיה״כ ראה בעש״ט קיטרוג גדול על ישראל שיסתלק מהם תורה שבע״פ והיה מתעצב מאוד כל יום עיה״כ ולע״ע כשבאו כל העיר לברכם ברך אחד או שנים ואמר לא יכולתי מחמ"
Khal-Hasidim_0099	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0099	Shivhei-Habesht_0181	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0181	0.9926	"Khal-Hasidim_0099 תיוגים פ״א בעת אסיפת ד׳ ארצות היה הפרנס הראשון הרב הנגיד המפורסים מ' אברהם אבא הציע הדבר לפני כולם כי הנה נשמע שמע הבעש״ט ולפי הנשמע הוא ע״ה ואיך יכול להיות שיהיה לו רוה""ק כי אין ע""ה"	"Shivhei-Habesht_0181 תיוגים* פ""א בעת אסיפת ד' ארצות הי' הפרנס הראשון הרב הנגיד המפורסם מ׳ אברהם אבא הציע הדבר לפני כולם כי הנה נשמע שמע הבעש״ט ולפי הנשמע הוא ע""ה ואיך יכול להיות שיהי' לו רה״ק כי אין ע"
Khal-Hasidim_0101	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0101	Shivhei-Habesht_0183	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0183	0.9926	"Khal-Hasidim_0101 תיוגים בק""ק קאשטאנטין ישן היה איש א׳ חשוכי בנים והיה כמה פעמים לפני הבעש״ט פ""א הבטיח לו שתלד אשתו בן זכר וצוה לו שיתן לו ידיעה אז כשתלד. וכן היה שילדה אשתו ב""ז ונסע להבעש""ט לבשרו מלי"	"Shivhei-Habesht_0183 תיוגים* בק""ק קאשטאנטין ישן הי' איש א׳ חשוכי בנים והי' כמה פעמים לפני הבעש״ט : פ״א הבטיח לו שתלד אשתו בן זכר וצוה לו שיתן לו ידיעה אז כשתלד. וכן היה שילדה אשתו ב""ז ונסע להבעש״ט לבש"
Adat-Zadikim_0004	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0004	Khal-Hasidim_0024	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0024	0.9925	Adat-Zadikim_4 תיוגים מעשה שנסע הבעש״ט מביתו יום ד' לעת ערב ונסע כל הלילה ולמחרתו כל היום ולא הי׳ יודע שום אדם תכלית הכוונה בהנסיעה בהנסיעה וגם להיכן הוא נוסע ויסע מהלך רב ביום ההוא כידוע לכל כאשר הי'	"Khal-Hasidim_0024 תיוגים ויסע משם בדרך ג' ימים רצופים עד כי ביום ג' בערב באו לבית מלון א׳ לאיש עברי מחזיק את האראנדע והוא לא ידע את הבעש""ט ז""ל וידרשו ממנו אם יוכלו ללון אצלו ויאמר לא. והנה ראו כי האיש"
Khal-Hasidim_0125	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0125	Shivhei-Habesht_0206	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0206	0.9924	"Khal-Hasidim_0125 תיוגים פ""א בנסיעות הבעש״ט נתאכסן אצל הרב דקהילה ע""ד שיהיה שם בשבת אמר הרב לאשתו תדע האיך לכבדו כי איש גדול ומפורסם הוא ואמרה אשתו הלא קנינו בעזה""ש בשר נבחר מהם כל נתח טוב לכבוד האורח"	"Shivhei-Habesht_0206 תיוגים* פ""א בנסיעת הבעש״ט נתאכסן אצל הרב דקהילה : ע""ד שיהי׳ שם שבת אמר הרב לאשתו תדע האיך לכבדו כי איש גדול ומפורסם הוא ואמרה אשתו הלא קנינו בעז""ה בשר נבחור מהם כל נתח טוב לכבוד ה"
Khal-Hasidim_0116	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0116	Shivhei-Habesht_0197	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0197	0.9923	"Khal-Hasidim_0116 תיוגים מעשה הי' שהרב הק' המוכיח מו""ה ארי' ליב מפולנאי חשקה נפשו מאוד ללמוד חכמת שיחת בהמות ועופות ושיחת דקלים מפני שנצרך לו זה לתוכחה ומאחר שהי' כוונתו לש""ש נגמר בדעתו ליסע להבעש״ט ו"	"Shivhei-Habesht_0197 תיוגים* מעשה הי' שהרב המוכיח מוה' ארי׳ ליב מפולנאה חשקה נפשו מאוד ללמוד חכמת שיחת בהמות ועופות ושיחת דקלים מצד שנצרך לו זה לתוכחה ומאחר שהיה כוונתו לש""ש נגמר בדעתו ליסע להבעש״ט ול"
Khal-Hasidim_0009	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0009	Shivhei-Habesht_0005B	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0005B	0.992	"Khal-Hasidim_0009 תיוגים ועתה אספר הגדולות אשר שמעתי מחמי ז""ל איך היה התגלותו כי הוא ישב בכפר קטן על השענק והיה דרכו כשהביא לאשתו הי""ש הלך להתבודדות בעבר הנהר הנקרא פרוט ושם היה לו בהר סלע כמו בית קטן"	"Shivhei-Habesht_0005B תיוגים This story is grouped with the previous one according to Scholem's numbering on the manuscript. ועתה אספר הגדולות אשר שמעתי מחמי ז""ל איך הי' התגלותו כי הוא ישב בכפר קטן על"
Khal-Hasidim_0162	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0162	Sipurei-Zadikim_0001	Sipurei-Zadikim	https://www.hasidic-stories.org/Story/Sipurei-Zadikim/Sipurei-Zadikim_0001	0.992	"Khal-Hasidim_0162 תיוגים עתה נכתוב קצת ספורים מאת הרב הקדוש והטהור הדמי לבר אלהין הנודע בכל העולם בשם רבי ליב שרהס זצללה""ה : שמעתי מזקן אחד מבוניטש אשר היה בצוותא עם רבי ליב שרהס בווין הבירה והנני להצ"	Sipurei-Zadikim_0001 תיוגים ספורי צדיקים מעשה נורא מהרב הצדיק ר׳ ליב שרהס שמעתי מזקן אחד מבוניטש אשר היה בצוותא עם רבי ליב שרהס בווין הבירה והנני להציעה לפני הקורא באריכות: הנה עיר קטנה סמוכה למאהליב 
Khal-Hasidim_0229	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0229	Maase-Zadikim_0025	maase-zadikim	https://www.hasidic-stories.org/Story/maase-zadikim/Maase-Zadikim_0025	0.9917	Khal-Hasidim_0229 תיוגים מעשה שהיה בכפר א' באשה אחת מקשה לילד שלחו שליח מיוחד להרב הצדיק לסאסיב לבקש רחמים בעדה והאיש ההוא לא הכיר את הצדיק ולא ידעו ויסע ויבא בלילה בשעה שניה אחר חצות ולא ידע איה איפו	Maase-Zadikim_0025תיוגיםמעשה שהיה בכפר א' באשה אחת מקשה לילד שלחו שליח מיוחד להרב הצדיק לסאסיב לבקש רחמים בעדה והאיש ההוא לא הכיר את הצדיק ולא ידעו ויסע ויבא בלילה בשעה שניה אחר חצות ולא ידע איה איפוא
Khal-Hasidim_0054	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0054	Shivhei-Habesht_0064	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0064	0.9915	"Khal-Hasidim_0054 תיוגים שמעתי מר' פאלק אב""ד דק""ק טיטשיניק פ״א במוצאי שבת צוה הבעש״ט לחתן חורגו הרה""ק ר׳ יוסף אשכנזי שיאמר לפניו עין יעקב והוא שכב על המטה ושמע מפיו העין יעקב ובמקום א׳ אמר הבעש״ט תורה"	"Shivhei-Habesht_0064 תיוגים* שמעתי מר׳ פאלק אב""ד דק""ק טיטשיליק פ""א במוצאי שבת ציוה הבעש״ט לחתן חורגו ר׳ יוסף אשכנזי שיאמר לפניו עין יעקב והוא שכב על המטה ושמע מפיו העין יעקב ובמקום א' אמר הבעש״ט תורה "
Khal-Hasidim_0056	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0056	Shivhei-Habesht_0066	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0066	0.9915	"Khal-Hasidim_0056 תיוגים שמעתי מהרב דקהלתינו שהבעש״ט לא רצה להיות בק""ק אנעפאליע כי אמר אין לי שום עסק כי כבר תיקן שם הר' שמשון דק""ק הנ""ל כל מה שהיה צריך. פ""א שבת בק""ק הנ""ל ר' גרשון גיסו ובא משם ואמר ל"	"Shivhei-Habesht_0066 תיוגים* שמעתי מהרב דקהלתינו שהבעש״ט לא רצה להיות להות בק""ק אנעפאליע כי אמר אין לי שם שום עסק כי כבר תיקן שם ר׳ שמשון דק""ק הנ""ל כל מה שהיה צריך פ""א שבת בק""ק הנ""ל ר׳ גרשון גיסו ובא "
Khal-Hasidim_0090	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0090	Shivhei-Habesht_0139	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0139	0.9914	"Khal-Hasidim_0090 תיוגים שמעתי מהרב דקהלתינו ששלח הבעש״ט להרב דק""ק ביטשוב שהשוחט שלו מן כת ש""ץ ימ""ש והוא מאכיל טריפות כי לאחר שמראה לו הסכין מכה בסכין על קורנס כדי לפגמו ובדק אחריו הרב וכן הי' :"	"Shivhei-Habesht_0139 תיוגים* שמעתי מהרב דקהלתינו ששלח הבעש״ט להרב דק""ק ביטשוב שהשוחט שלו מן כת ש""ץ ימ""ש והוא מאכילו טריפות כי לאחר שמראה לו הסכין מכה בסכין על קורנס כדי לפגמו ובדק אחריו הרב וכן הי' :"
Khal-Hasidim_0233	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0233	Maase-Zadikim_0028	maase-zadikim	https://www.hasidic-stories.org/Story/maase-zadikim/Maase-Zadikim_0028	0.9914	"Khal-Hasidim_0233 תיוגים סיפר הרה""ק המקובל האלהי מוהר״ר צבי מזדיטשוב ז""ל שהיה נוסע לסאסוב והיה מסתופף בצלו לקבל ממנו תורה. פעם אחד אמר הרה""ק מהר""צ אשים עיני לראות התנהגתו בענין תיקון חצות לילה כאשר הי"	"Maase-Zadikim_0028תיוגיםסיפר הרה""ק המקובל האלהי מוהר""ר צבי מזידיטשוב ז""ל שהיה נוסע לסאסיב והי׳ מסתופף בצלו לקבל ממנו תורה. פעם אחד אמר הרה״ק מהר""צ אשים עיני לראות התנהגותו בענין תיקון חצות לילה כאשר ה"
Adat-Zadikim_0021	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0021	Khal-Hasidim_0148	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0148	0.9913	"Adat-Zadikim_21 תיוגים ויהי אחרי הדברים האלה עשה הרה״מ שידוך עם היתומה בת הרר""א הנ""ל עם הרה״ק ר׳ מנחם נחום מטשארנאביל ז""ל עבור בנו הרה״ק ר' מרדכי מטשארנאביל ז""ל והי׳ הקישורי תנאים אצל הרה״מ ובעת אשר י"	"Khal-Hasidim_0148 תיוגים ויהי אחרי הדברים האלה עשה הרה״מ שידוך עם היתומה בת הרר""א הנ""ל עם הרה""ק ר' מנחם נחום מטשארנביל ז""ל. עבור בנו הרה""ק ר׳ מרדכי מ טשארנביל טשאראביל . והיה הקישורי תנאים אצל הרה״מ ו"
Khal-Hasidim_0008	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0008	Shivhei-Habesht_0005A	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0005A	0.9913	"Khal-Hasidim_0008 תיוגים עוד מעניני התגלות הבעש״ט ראשית דבר שמעתי מפי חותני זצל״ה ה""ה מו״הר אלכסנדר שוחט שהיה אצל הרב החסיד הקדוש רבן של כל בני הגולה מורינו ורבינו מו' ישראל בעש""ט ממעזיבוז שהיה אצלו ס"	"Shivhei-Habesht_0005A תיוגים* ראשית דבר שמעתי מפי חותני זללה""ה ה""ה מ׳ אלכסנדר שוחט שהי׳ אצל הרב החסיד הקדוש רבן של בני הגולה מורינו ורבינו מ׳ ישראל בעש""ט ממעזיבוז שהי' אצלו סופר ח׳ שנים כמה שנים קודם "
