story_id	edition	human	claude	gemini	agreement	claude_reasoning	gemini_reasoning
Khal-Hasidim_0069	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story concerns R' Leib and his encounter with the Baal Shem Tov, focusing entirely on his spiritual practice of daily accounting and his death. No women appear in any capacity.	This story focuses on the actions and death of a Hasid, R. Leib, and the Baal Shem Tov. No women are mentioned.
Khal-Hasidim_0070	Khal-Hasidim	minor	minor	major	human=claude/gemini-differs	R' Aharon's widow (אלמנה אשת ר' אהרן) appears briefly at the end: she is told to search the chest, expresses skepticism, but finds the two talers and the wrapped hairs, confirming the dream's veracity. Her role is supporting and instrumental — she does not drive or shape the story's central spiritual drama, which revolves entirely around male figures (R' Aharon, R' Gershon, R' Leib, the demonic impersonator, and the heavenly court).	The story revolves around Rabbi Aharon and his posthumous appearance in a dream. His widow, who is left impoverished, is also a significant figure, as the dream leads to the discovery of money hidden for her.
Khal-Hasidim_0071	Khal-Hasidim	minor	major	minor	human=gemini/claude-differs	The ill wife is the pivot of the entire narrative: the Besht's refusal to heal her, and the spiritual explanation he gives—that she is a tzadeket whose very weakness shields the town from bandits—is the story's central theological point. Her piety and suffering are indispensable to the plot and its meaning.	A woman is ill and her illness plays a minor role in the story. Her role is secondary to the Besht's actions and the town's protection.
Khal-Hasidim_0072	Khal-Hasidim	no-women	minor	no-women	human=gemini/claude-differs	A wife is referenced in passing through the Rambam legal ruling cited by the Besht — the man's sin involves having effectively forbidden his own wife to himself — but she appears only as an implicit legal subject, not as an active or named character in the narrative. The story centers entirely on the Besht's spiritual discernment of the rabbi's hidden transgression.	The story revolves around interactions between men, specifically the Baal Shem Tov and another man accused of adultery. No women are present as characters in the narrative.
Khal-Hasidim_0073	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	The phrase 'ואשתקל מלולי'' appears to contain a brief, passing reference to a wife (אשת/אשתו), but she plays no active role in the narrative, which centers entirely on the Besht, his servants, a doctor, and the ill R' Yosef and his miraculous recovery through bloodletting.	The story mentions a man's illness and his wife, but her role is minimal; she's not named, and her actions don't drive the plot. The focus is on the Ba'al Shem Tov's actions and the man's recovery.
Khal-Hasidim_0074	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story involves the Baal Shem Tov, R' Yosef the teacher, and a doctor — no women appear in any capacity.	This story focuses solely on the Ba'al Shem Tov and other male figures (Rabbi Yosef, the doctor). No women are mentioned or play any role in the narrative.
Khal-Hasidim_0075	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	An orphan girl (היתומה) is mentioned as one of the two parties in the Besht-arranged match and is noted to have been raised in the Besht's home, but she has no speech, action, or agency in the narrative. The story's plot revolves entirely around the Besht's miraculous provision of the bride-price through R' Leib Kreminer's encounter with the nobleman.	The story involves a wedding between two orphans raised by the Baal Shem Tov and Rabbi Zev Kitzes. The bride is mentioned, but she does not play an active role in the narrative. The story focuses on the financial arrangements for the wedding and a miraculous event involving the Baal Shem Tov.
Khal-Hasidim_0076	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story features exclusively male characters throughout — Rabbi Pinchas of Koretz, the Maggid of Mezeritch, the Besht, and Avraham Abba — with no women appearing or mentioned in any capacity.	"[parse error] {
  ""category"": ""minor"",
  ""reasoning"": ""There are no women characters in this story, but there is a mention of the Shechina."",
}"
Khal-Hasidim_0077	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story centers entirely on the Besht's spiritual battle with a hostile priest, involving male townspeople, a commissioner, and R' Leib. No women appear in any capacity.	This story focuses on the conflict between the Baal Shem Tov and a priest and involves only male characters.
Khal-Hasidim_0078	Khal-Hasidim	no-women	no-women	minor	human=claude/gemini-differs	The story involves a merchant, a thief, the Baal Shem Tov, and his scribe R' Tzvi — all male characters. No women appear or are mentioned in any capacity.	There is a brief mention of the shopkeeper's wife when he is robbed. However, she does not contribute to the plot. The story is about the Ba'al Shem Tov's ability to know hidden things, not about the woman.
Khal-Hasidim_0079	Khal-Hasidim	no-women	no-women	no-women	all-agree	The narrative centers entirely on male characters at the Besht's funeral procession; no women are mentioned or implied.	This story involves male figures (R. Nachman, R. Zev) at the funeral of the Baal Shem Tov. No women are mentioned.
Khal-Hasidim_0080	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story concerns R' Nachman's journey to the Holy Land, his interactions with R' Yosef, the Maggid, and R' Mendele, and his death — no women appear in any capacity.	This story focuses on the interactions and travels of male Hasidic figures like R' Nachman and R' Mendel. There are no women present in the narrative.
Khal-Hasidim_0081	Khal-Hasidim	major	major	major	all-agree	The wife of Reb Shbtai the bookbinder is a central, active character: she is explicitly summoned before the Besht alongside her husband, her promise not to accept charity from neighbors is a pivotal plot element that Reb Shbtai carefully secures from her, and the story's spiritual resolution (the miraculous Shabbat and, implicitly, the birth of the Maggid of Kozhnitz) hinges on the couple's joint conduct — her fidelity to that vow is indispensable to the narrative.	The story revolves around a poor couple preparing for Shabbat. The wife's role in ensuring they don't accept charity and her piety are central to the narrative and its spiritual meaning, making her a major character.
Khal-Hasidim_0082	Khal-Hasidim	minor	minor	minor	all-agree	The Besht's wife appears several times — she informs him the candles are dying out, she enters the room and lies on her bed, and the Besht tells her to cover her face before the holy souls arrive — but these are brief, supporting actions. The story's central drama is the Besht's grief over the martyrs of Pavlitsh and his nighttime mystical encounter with the souls of Rabbi Akiva and the other martyrs, in which the wife plays no significant part.	The story features the Ba'al Shem Tov and a Rabbi. The Ba'al Shem Tov's wife is mentioned briefly when she tells him that the candles are going out and the guests are waiting, but she doesn't play a significant role beyond this. Thus the story falls under the minor category.
Khal-Hasidim_0083	Khal-Hasidim	minor	minor	minor	all-agree	The mother appears briefly at the start, expressing worry about her absent son and pressuring her husband to consult the Besht, but she plays no further role; the story's main focus is on the Besht's clairvoyance regarding the son's whereabouts.	The wife prompts her husband to seek information about their son, but she otherwise has no agency in the story's events and is a background character.
Khal-Hasidim_0084	Khal-Hasidim	minor	minor	minor	all-agree	The merchant's wife appears briefly at the outset to advise her husband to travel with the Besht for safety, but the story's main action centers on the Besht's miraculous protection of the travelers from bandits. The wife's role is limited to a single initiating suggestion.	The story mentions a shopkeeper's wife who advises him to travel with the Baal Shem Tov for safety. Although her advice initiates the action, she remains a background figure.
Khal-Hasidim_0085	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	A young woman (בתולה) appears as one half of the couple whom the Besht miraculously marries in the forest, and her background and purity are briefly noted; however, she is not the narrative's driving force — the story centers on the Besht's supernatural foreknowledge and his performance of the wedding. The duke's wife (הדוכסה) is mentioned only in passing at the story's end.	A young couple found in the woods and married by the Baal Shem Tov are central to the story, but they are not particularly distinguished as individuals. The story is about the Baal Shem Tov's miracle, not the woman's story.
Khal-Hasidim_0086	Khal-Hasidim	no-women	no-women	minor	human=claude/gemini-differs	The story centers entirely on the Besht, two rabbis (R' Zev Kitzes and R' David Purkes), a sick male disciple, and a hidden boy; the ambiguous phrase 'והוא והיא' appears to be a scribal oddity and in any case no woman acts, speaks, or figures in the narrative in any capacity.	This story primarily focuses on the Ba'al Shem Tov (the Besht) and his interactions with disciples and a dying man. While the dying man's wife is mentioned, she does not have an active role or impact the story's events or spiritual meaning. Her presence is purely contextual.
Khal-Hasidim_0087	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story centers entirely on a male teacher (R. Moshe Keds) and the Baal Shem Tov, involving a Talmudic difficulty, a dream revelation, and spiritual transformation. No women appear in any capacity.	This story focuses solely on the interactions between Rabbi Moshe Kades and the Baal Shem Tov, with no mention of any female characters.
Khal-Hasidim_0088	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story centers entirely on male figures — the Besht, R. Yechiel Mikhl, R. Zeev Kutsyes, and R. Mikhl the Dayan — with no women mentioned or appearing in any capacity.	No women are mentioned or play any role in this story about the Ba'al Shem Tov, Rabbi Yechiel Michel, and Rabbi Michel Dayan.
Khal-Hasidim_0089	Khal-Hasidim	no-women	no-women	no-women	all-agree	No women appear at any point in this narrative about R' Zelig, R' Meir, and the Besht's journey to Brod.	This story recounts Rabbi Meir's travels with the Baal Shem Tov. No women are mentioned or play any role in the narrative.
Khal-Hasidim_0090	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story concerns a ritual slaughterer suspected of invalidating his knife and feeding forbidden meat to the community; all characters mentioned (the Baal Shem Tov, the local rabbi, the slaughterer) are male. No women appear in any capacity.	This story discusses a shochet (ritual slaughterer) and a rabbi and makes no mention of any women.
Khal-Hasidim_0091	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story centers entirely on the Baal Shem Tov and R' Gershon, discussing prayer locations and the boundaries of the Land of Israel; no women appear or are mentioned in any capacity.	This story focuses on the actions of male rabbis and does not mention any women.
Khal-Hasidim_0092	Khal-Hasidim	minor	major	minor	human=gemini/claude-differs	R' Michel's wife in difficult labor is the central crisis and miraculous climax of the story — the Besht's foreknowledge of her condition, and the successful birth achieved through his whispered instruction, are the entire spiritual and narrative payoff of the journey. The Besht's wife also plays an active supporting role by noticing R' Michel's absence and dispatching someone to fetch him.	The story includes the wife of the Baal Shem Tov and the wife of Rabbi Yechiel Michel, but their roles are secondary to the main narrative about Rabbi Yechiel Michel and the Baal Shem Tov's instructions and prophecies. The wife of Rabbi Yechiel Michel is only mentioned as being in labor and needing a specific act performed by her husband.
Khal-Hasidim_0093	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story features the Baal Shem Tov, a bear, a judge, and a crowd of townspeople, all in male or gender-neutral terms; no woman appears or is mentioned in any capacity. The narrative centers on exposing a blood libel plot through the bear's actions.	This story does not feature any women. It focuses on the actions of the rabbi and a bear in uncovering a hidden body.
Khal-Hasidim_0094	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story involves only male characters — the rabbi, his host, and the soul of a deceased male debtor reincarnated as a horse. No women appear in any capacity.	This story does not feature any women characters. It is a story about a rabbi, a host, a debt, a dead man, and a horse.
Khal-Hasidim_0095	Khal-Hasidim	minor	minor	minor	all-agree	The mother of the preacher from Polnai is briefly mentioned at the end as an elderly woman who remembered the Besht's prediction from over twenty years prior, but she plays no active role in the narrative. The story centers on the Besht's prophetic vision and its fulfillment through R' David Purkes.	The mother of the *mochiach* is mentioned at the end of the story, but she does not play a significant role in the events of the narrative. She merely recalls a saying of the Baal Shem Tov.
Khal-Hasidim_0096	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story features only male characters — the Baal Shem Tov, Reb Dovid Purkes, and an unnamed man they encounter on the way to the bathhouse. No women appear in any capacity.	The story describes an encounter between the Baal Shem Tov and Rabbi David Forkas with a man. No women are present or mentioned.
Khal-Hasidim_0097	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story centers entirely on a man's journey to the Baal Shem Tov for Yom Kippur, his horse's exhaustion, his falling asleep in the field, and the Besht's reaction — no women appear in any capacity.	The story focuses solely on the man's journey and spiritual experience. No women are mentioned or involved in the narrative.
Khal-Hasidim_0098	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story features the Baal Shem Tov dining with his followers and two men who fell into a river and were saved; no women appear or are mentioned at all.	This story focuses on the Baal Shem Tov and another man who needed to be rescued. No women appear in the story.
Khal-Hasidim_0099	Khal-Hasidim	no-women	minor	no-women	human=gemini/claude-differs	A woman is implicitly referenced — the Besht cries out that the bed's owner committed an illicit act ('בעלו ארמית'), and the innkeeper then confirms his son-in-law 'בעל ארמית על המטה זו,' implying a (gentile) woman was involved — but she is never named, described, or present as an active character; the story's main thrust concerns the Besht's supernatural knowledge and his encounter with the parnas Avraham Abba.	This story focuses on the Ba'al Shem Tov and a rabbi and their interaction. No women are mentioned or involved in the narrative.
Khal-Hasidim_0100	Khal-Hasidim	major	major	major	all-agree	מ׳ אדל, the named and explicitly righteous daughter of R. Nachum of Chernobyl, is a central actor who drives the story's resolution: she initiates the deal, provides the shoes, and her bearing of the holy R. Baruch of Tulchin is the climactic fulfillment — without her, the narrative has no conclusion or spiritual payoff.	Rebbitzin Adel is a central figure in this story. Her promise to provide shoes to a Hasid in exchange for a blessing of a son is key to the narrative's events and outcome.
Khal-Hasidim_0101	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	The wife (אשתו) is mentioned briefly as bearing the promised son, but she plays no active role in the story's main action, which centers on the father, the Besht's prophecy, and the boy's near-drowning on his bar mitzvah day.	The wife is mentioned as giving birth to the son, but her role is not essential to the story's plot, which focuses on the father and the Ba'al Shem Tov's prophecy concerning the son.
Khal-Hasidim_0102	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	The merchant's wife is mentioned twice in passing — the Besht predicts she will bear a son, and she does — but she never appears as a character, speaks, or acts in the narrative. There is also a brief unexplained reference to 'an enclosed woman' in the mysterious Shabbat house, but she too is never seen or active; the story centers entirely on the merchant and his interactions with the Besht.	The story mentions the protagonist's wife giving birth to a son, but her role is minimal and doesn't significantly affect the plot's development or spiritual meaning. The story focuses on the man's dealings with the Ba'al Shem Tov and his personal journey.
Khal-Hasidim_0103	Khal-Hasidim	minor	minor	minor	all-agree	The sick man's mother appears briefly, urging her son to greet the Baal Shem Tov, but she plays no further role. The story centers on the miraculous healing of the mitnaged brother by the Besht.	The mother of the sick man appears briefly, urging her son to greet the Baal Shem Tov. She has a very minor, though present, role.
Khal-Hasidim_0104	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story centers entirely on two male rabbis (R. Nachman of Horodenka and another rabbi) and a male congregation; no women appear or are referenced in any capacity.	This story focuses on the actions and motivations of Rabbi Nachman and another unnamed man, with no women mentioned or present.
Khal-Hasidim_0105	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	The man's wife is mentioned in passing as the subject of his vow of separation and as the owner of the jewelry he pawned — she is not a character who acts or speaks in the story. Her role is purely functional, providing the legal-halakhic context for the transgression at the heart of the plot.	A man's actions involving his wife's jewelry are discussed, though she herself isn't a character in the story's action. The core narrative focuses on the man's relationship with the rabbi and the ensuing spiritual inquiry.
Khal-Hasidim_0106	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story centers entirely on the encounter between Rabbi Nachman Kosover and the Baal Shem Tov, involving their dispute and eventual meeting. No women appear in any capacity.	There are no women mentioned in this story about the Baal Shem Tov and Rabbi Nachman of Kosov.
Khal-Hasidim_0107	Khal-Hasidim	no-women	no-women	minor	human=claude/gemini-differs	The story revolves entirely around the Besht and Rabbi Moharan (and briefly a male innkeeper and servant); no women appear in any role.	Although not named, the wife of the innkeeper is alluded to in the context of needing water for 'nidah'. However, she does not appear as a character in the story.
Khal-Hasidim_0108	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story features two noblemen debating how to set a jewel in a crown for the king, with a commoner interjecting, and closes with a reference to the ancient disputes between Saul and David and Hillel and Shammai. No women appear in any capacity.	This is a story about men (a king and ministers) and makes no reference to any women.
Khal-Hasidim_0109	Khal-Hasidim	major	major	minor	human=claude/gemini-differs	The wife of the wealthy man (אשת הנגיד) is a central moral foil whose scorn for the Besht and mockery of holy names directly provokes the Besht's anger and shapes the spiritual climax of the story. The final rebuke — denying her any benefit from the miracle — is addressed to her alone, making her indispensable to the narrative's religious message.	The wife of the rich man briefly appears to express skepticism towards the Baal Shem Tov. Her disbelief motivates the Besht to heal the son, but she is not a central figure.
Khal-Hasidim_0110	Khal-Hasidim	minor	major	major	models-agree/human-differs	The ill wife is the central figure whose affliction drives the entire plot — the husband's journey, the visit to the Besht, and the climactic miraculous healing all revolve around her condition and recovery. Her illness and cure are the story's main spiritual and narrative focus.	The story revolves around the wife's illness and miraculous healing. Her inability to use her hands and eventual recovery through the Ba'al Shem Tov's intervention are central to the plot, making her a major character.
Khal-Hasidim_0111	Khal-Hasidim	minor	minor	minor	all-agree	The mother appears briefly near the end of the story, where she mocks the Rabbi and persuades her son to abandon his repentance regimen, thereby causing his death. Although her action triggers the tragic outcome, she is not foregrounded as a character — the narrative centers on the Besht's clairvoyance, the son's sin, and his failed repentance.	A mother is mentioned persuading her son to abandon his repentance. Her actions influence the story's outcome, but the focus remains on the man's relationship with his father and the Baal Shem Tov's judgment.
Khal-Hasidim_0112	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	A newly-delivered woman who is destitute serves as the occasion for the rabbi's act of charity and his miraculous awareness, but she is unnamed, passive, and does not speak or act — the story's spiritual focus is entirely on the rabbi's sensitivity and generosity.	A woman is mentioned as having given birth and lacking food, but she is not a central character. The story focuses on the Rebbe's actions and the messenger.
Khal-Hasidim_0113	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story involves only the Besht, his male disciples, and a priest; no women appear or are mentioned in any capacity.	The story involves the Baal Shem Tov, his students, and a priest. No women are present or mentioned.
Khal-Hasidim_0114	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story centers entirely on the Baal Shem Tov's prayer, his purchase of wood from a gentile, and the heavenly accusation against the Jewish people; no women appear or are referenced in any capacity.	This story focuses on the Baal Shem Tov's actions regarding a non-Jew. No women are mentioned or play any role in the narrative.
Khal-Hasidim_0115	Khal-Hasidim	minor	minor	minor	all-agree	A woman appears at the opening of the story in considerable detail — she weeps before the assembled tsadikim over her lost 800 Rhenish silver — and her plight serves as the narrative trigger for the Rabbi of Kaminke to introduce the Besht story. However, she disappears entirely once the main tale begins, and the bulk of the narrative concerns two male friends and a wealthy man from Risha; her role is that of a frame device rather than a central character.	A woman loses money and asks for help from the tzadikim. She is present at the beginning of the story, but the rest of the story is about something else.
Khal-Hasidim_0116	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story involves only male characters — the preacher Aryeh Leib, the Baal Shem Tov, and unnamed male companions — with no women appearing in any capacity. The celestial figures mentioned (the faces of the Merkavah) are not gendered female characters acting in the narrative.	The story recounts the experience of Rabbi Aryeh Leib of Polonoye seeking to learn the wisdom of animal speech from the Baal Shem Tov. No women are mentioned or play any role in the narrative.
Khal-Hasidim_0117	Khal-Hasidim	major	major	major	all-agree	The young widow is the central figure around whom the entire plot revolves: the Besht's mysterious overnight journey is undertaken solely to rescue her from apostasy, his negotiations with her father-in-law and her own consent are foregrounded, and the story culminates in her repentance and remarriage. Her spiritual plight, choices, and transformation are indispensable to the narrative's meaning.	A woman is a central character. The story revolves around a young widow who is about to be forced into a marriage against her will and is in danger of converting out of Judaism. The Baal Shem Tov intervenes to save her, making her a key figure in the narrative.
Khal-Hasidim_0118	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story involves the Baal Shem Tov, his disciples, a wealthy host (nagid), and a visiting rabbi — all male characters. No women appear or are mentioned in any capacity.	This story focuses on the Baal Shem Tov, his students, and a rabbi. No women are mentioned or play any role in the narrative.
Khal-Hasidim_0119	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	The wife (אשתו) is briefly mentioned as having given birth to a son in her old age, but she plays no active role in the narrative. The story centers on the childless man's exchanges with the Baal Shem Tov and the miraculous revival of the infant during circumcision.	The story focuses on a man's desire for a son and his interaction with the Baal Shem Tov. The man's wife is mentioned as bearing a child, but she has no active role.
Khal-Hasidim_0120	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	A woman is mentioned as a potential bride for the priest (the beautiful daughter of a certain nobleman), but she never appears as a character and exists only as a rhetorical device in the Baal Shem Tov's persuasion. The story's plot centers on the Baal Shem Tov's spiritual maneuver to neutralize a heavenly accusation before Kol Nidrei.	A nobleman's beautiful daughter is mentioned as a potential wife for a priest, but she doesn't appear as a character. The story focuses on the Ba'al Shem Tov and the priest.
Khal-Hasidim_0121	Khal-Hasidim	minor	minor	minor	all-agree	The duchess (דוכסה) initiates the encounter by praising the Besht and sending an honorable carriage for him, but her role is limited to setting up the scene. The central drama—the Besht's demonstration of spiritual and diagnostic powers against the doctor—unfolds entirely between male characters and does not depend on her further participation.	A duchess summons the Baal Shem Tov. While she is a named character who initiates the action, the story primarily focuses on the encounter between the Baal Shem Tov and the doctor, not the duchess herself.
Khal-Hasidim_0122	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story concerns Rabbi David Pirkus's visions of men standing beside the Besht (including Elijah and the AriZal) and a discussion with the Maggid about their identities. No women appear in any capacity.	This story focuses on male figures and their relationships, with no mention of women.
Khal-Hasidim_0123	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story features only the Baal Shem Tov and a male host (בעה״ב), with no women appearing in any capacity. The narrative centers entirely on the Besht's mystical experience with strong wine.	This is a story about the Baal Shem Tov and his experience with strong wine. No women are mentioned in the story.
Khal-Hasidim_0124	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	The wife of the Rabbi of Lutsk is mentioned briefly as having given birth to a son ('ותלד אשת הרב מלוצק'), which occasions the circumcision feast that frames the story, but she has no active role and the narrative centers entirely on the dispute between the Besht and the rabbinical authorities over the kashrut of the meat.	A woman (the wife of the man who seeks a child) is mentioned as giving birth, which is necessary to the plot, but she is not a main focus. The story revolves around the Ba'al Shem Tov and the two rabbis.
Khal-Hasidim_0125	Khal-Hasidim	minor	minor	minor	all-agree	The rabbi's wife is actively involved in the story's opening — she prepares the meat, discovers it missing, canvasses neighbors, and alerts the slaughterer — but her role is purely logistical setup for the Besht's miraculous exposure of the corrupt shochet and cantor. The story's spiritual and narrative thrust centers entirely on the Besht, not on her.	The rabbi's wife is mentioned as being concerned about honoring the Baal Shem Tov and trying to find meat, but her actions don't drive the plot. The story focuses on the Baal Shem Tov's interaction with the butcher.
Khal-Hasidim_0126	Khal-Hasidim	minor	minor	major	human=claude/gemini-differs	Rabbi David Pirkus's daughter is the reason for the matchmaking mission — the representatives are sent to find her a groom and a dowry is pledged on her behalf — but she never appears as an active character, has no dialogue or agency, and the narrative focuses entirely on the male emissaries and the prospective grooms they evaluate.	The story revolves around finding a suitable match for Rabbi David Pirkus's daughter. While the daughter herself does not act in the story, the narrative centers on the efforts made to secure her future, highlighting the importance of women in Hasidic family and community life, and the role of the father in securing his daughter's future.
Khal-Hasidim_0127	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	The Besht's wife is mentioned twice — once as the occasion for a remarriage discussion after her death, and once in passing when the Besht alludes to his conjugal union with her as the context for his son's holy soul — but she never acts, speaks, or shapes the plot. The story centers on the Besht's deathbed scene and transmission of a divine name to his son.	The story mentions the death of the Besht's wife, prompting a discussion about remarriage. The story also mentions the Besht's son was conceived through a mystical union with his wife.
Khal-Hasidim_0128	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	A young woman ('בתולה אחת בתו של השמש') is briefly mentioned as being harmed by the departing soul the Besht expelled, but she is unnamed, passive, and incidental to the central narrative of the Besht's death. The story's main thrust concerns the Besht's final hours, spiritual preparations, and passing.	A girl, the daughter of the synagogue attendant, is briefly mentioned as being harmed by a spirit that the Baal Shem Tov chases away. This is a very minor incident in a story focused on the Baal Shem Tov's final days.
Khal-Hasidim_0129	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	An unnamed maiden (the rabbi's niece) is briefly mentioned as the sole person entrusted to bring food and conceal the rabbi's fasting from the household, a supporting logistical role that does not drive the story's spiritual thrust. The narrative centers on the rabbi's extreme fasting practice and the Baal Shem Tov's intervention to stop it.	A young, unnamed female relative of the rabbi brings him food during his fast. While the fast itself is central to the story, her role in it is more as a helpful facilitator than a driver of the narrative or spiritual meaning.
Khal-Hasidim_0130	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story revolves entirely around the Baal Shem Tov, the rabbi of Kahal, and their interactions regarding travel to the Holy Land and intercession for a town; no women appear in any capacity.	This story focuses on the Ba'al Shem Tov and a rabbi, and their interactions regarding a specific city. No women are mentioned or play any role in the narrative.
Khal-Hasidim_0131	Khal-Hasidim	no-women	no-women	no-women	all-agree	The narrative centers entirely on the narrator's interactions with the rabbi of Nemirov and community religious matters (tefillin, psalm-recitation, the Tatar threat). No women appear or are mentioned in any capacity.	This story revolves around the actions and teachings of a rabbi and the anxieties surrounding a military threat. No women are mentioned or play any role in the narrative.
Khal-Hasidim_0132	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story describes the daily Torah study, prayer, and charitable practices of a pious man, with a brief episode involving his son complaining about poverty. No women appear or are mentioned in any capacity.	This story describes the behavior of a Hasid, focusing on his learning, prayer, and charitable acts. No women are mentioned.
Khal-Hasidim_0133	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story concerns a rabbi recounting a spiritual experience of pure prayer while traveling, with all characters being male religious figures (Reb Zushya, Reb Elimelech, the Baal Shem Tov, the author of Toldot Yaakov Yosef). No women appear in any capacity.	This story discusses prayer and lineage, and mentions male figures only.
Khal-Hasidim_0134	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story involves only male characters — the narrator, his father-in-law (חמי), Rabbi Gershon, Rabbi Gedaliah, and Rabbi Tzvi of Kamenitz — recounting a dangerous immersion at sea. No women appear or are mentioned in any capacity.	This story recounts the actions of men, specifically a rabbi's near-drowning experience and rescue at sea, with no women mentioned.
Khal-Hasidim_0135	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	R' Gershon's wife is mentioned twice — as the subject of his vow of abstinence and as someone he could not persuade to agree to travel to the Land of Israel — but she never speaks, acts, or appears directly in the narrative. The story's spiritual drama centers entirely on the Besht's perception of R' Gershon's sin and his correction of it.	The story centers on Rabbi Gershon and the Baal Shem Tov. While Rabbi Gershon's wife's unwillingness to let him travel to Israel is a key plot point, she is a background figure and does not drive the narrative in a significant way.
Khal-Hasidim_0136	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story centers entirely on male rabbinic figures — Rabbi Shalom, his son Rabbi Leib, and the Rabbi of the Great Synagogue — engaged in communal prayer for rain. No women appear or are mentioned in any capacity.	This is a story about rabbis and their prayers for rain in Jerusalem. No women are mentioned or play any role.
Khal-Hasidim_0137	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story involves only male figures — R' Gershon, the Chakham of Safed, the congregation, the Baal Shem Tov, and R' Lipmman — with no women appearing in any capacity.	This story recounts a dispute between Rabbi Pinchas, a rabbi in Tzfat, and a sage, involving money and an oath. No women are mentioned or play any role in the narrative.
Khal-Hasidim_0138	Khal-Hasidim	no-women	minor	minor	models-agree/human-differs	The Rabbanit (wife of the Or HaChaim) is mentioned once in passing when her husband instructs her to prepare a festive meal for the guest; she plays no further role and is not named or developed. The story centers entirely on R' Gershon Kitover's mission to the Cave of Machpelah on behalf of the Jewish people.	While the story centers on Rabbi Gershon's journey, it mentions the הרבנית (the rebbe's wife) in passing when she is asked to prepare a meal. Her role is purely supportive and does not influence the core narrative, making her a minor character.
Khal-Hasidim_0139	Khal-Hasidim	no-women	no-women	minor	human=claude/gemini-differs	The story recounts exclusively the relationship between Dov Ber of Mezeritch and the Baal Shem Tov, involving only male characters (the two rabbis, their servants, and a non-Jewish wagoner). No women appear in any capacity.	This story focuses on the relationship between Rabbi Dov Ber and the Baal Shem Tov. While a servant is mentioned, no women play a significant role in the narrative.
Khal-Hasidim_0140	Khal-Hasidim	no-women	no-women	minor	human=claude/gemini-differs	The story revolves entirely around male figures — the Maggid, the Baal Shem Tov, R' Mendel, R' Yaakov, R' Eliyahu, and other men. No women appear in any capacity, named or unnamed.	This story primarily focuses on the relationship between the Maggid and the Baal Shem Tov. While there's a brief mention of the Baal Shem Tov's wife in the context of the Maggid staying at their house, she doesn't play an active role in the narrative. A woman from the Maggid's household is mentioned, but she also has no active role in the story.
Khal-Hasidim_0141	Khal-Hasidim	no-women	no-women	no-women	all-agree	The story concerns the Maggid of Mezeritch, Rabbi Menachem Mendel, and Rabbi Levi Yitzchak of Berdichev and the blowing of the shofar on Rosh Hashanah. No women appear or are referenced in any capacity.	This story discusses the customs of blowing the shofar and the reactions of various rabbis; no women are mentioned.
